quote_date,paper,exch,open,high,low,close,volume,value
20120723,GOOGL,Nasdaq,300.24,309.18,299.12,307.75,6960448,4236292178
20120720,GOOGL,Nasdaq,304.38,306.47,299.09,305.41,12420092,7559160456
20120719,GOOGL,Nasdaq,293.07,299.24,293.00,296.53,7277482,4321995478
20120718,GOOGL,Nasdaq,288.49,291.85,288.06,290.38,2922732,1697772544
20120717,GOOGL,Nasdaq,289.21,290.33,284.20,288.37,3293478,1891972258
20120716,GOOGL,Nasdaq,288.19,289.60,285.89,287.46,2802210,1610974844
20120713,GOOGL,Nasdaq,286.07,289.57,284.27,288.26,3808830,2190067794
20120712,GOOGL,Nasdaq,283.56,285.96,281.05,285.24,4450840,2526435762
20120711,GOOGL,Nasdaq,288.15,288.93,282.47,285.60,6785916,3871064028
20120710,GOOGL,Nasdaq,295.10,296.21,289.37,290.85,3728656,2183324824
20120709,GOOGL,Nasdaq,292.48,294.30,290.62,293.00,3254962,1902309358
20120706,GOOGL,Nasdaq,296.23,296.76,291.41,292.99,4229648,2480808508
20120705,GOOGL,Nasdaq,294.38,300.03,294.27,297.96,4299576,2561188738
20120703,GOOGL,Nasdaq,290.00,294.20,289.00,293.92,2266304,1326152548
20120702,GOOGL,Nasdaq,290.91,291.50,288.25,290.24,3195876,1852569612
20120629,GOOGL,Nasdaq,287.48,290.06,286.10,290.04,4617092,2663743342
20120628,GOOGL,Nasdaq,282.95,283.12,278.61,282.15,3712820,2085356174
20120627,GOOGL,Nasdaq,283.85,286.99,283.01,284.65,3293162,1879183958
20120626,GOOGL,Nasdaq,281.38,283.30,279.74,282.34,2591180,1461577440
20120625,GOOGL,Nasdaq,283.67,284.05,278.68,280.35,3079426,1728355094
20120622,GOOGL,Nasdaq,284.00,285.74,282.91,285.74,3826840,2179104194
20120621,GOOGL,Nasdaq,289.92,289.92,281.87,282.61,3952224,2252514186
20120620,GOOGL,Nasdaq,289.90,290.00,286.75,288.75,4400272,2539691138
20120619,GOOGL,Nasdaq,286.80,292.14,286.56,290.76,4057380,2352763704
20120618,GOOGL,Nasdaq,281.31,287.11,279.62,285.43,4458526,2539347894
20120615,GOOGL,Nasdaq,280.17,282.26,278.55,282.25,5346186,2995827342
20120614,GOOGL,Nasdaq,280.65,282.54,278.26,279.52,4479888,2509745300
20120613,GOOGL,Nasdaq,280.86,283.50,279.34,280.55,3740584,2102795790
20120612,GOOGL,Nasdaq,284.88,285.15,279.29,282.55,6120252,3446527064
